nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Mi giả,-,101657,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Miếng dán mí & keo dán mí,-,101658,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Chuốt chì kẻ mày,-,101659,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc da mặt,Máy xông mặt,-,101660,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc da mặt,Dụng cụ làm thon gọn & mát xa mặt,-,101661,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc da mặt,Dụng cụ rửa mặt,-,101662,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ làm thon gọn cơ thể,-,-,100887,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ tẩy lông,-,-,100888,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,Lược chải,-,101664,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,Máy sấy tóc,-,101665,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,Máy tạo kiểu tóc,-,101666,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,Dụng cụ tạo kiểu không nhiệt,-,101667,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc tóc,Khác,-,101668,
Sắc Đẹp,Dụng cụ làm đẹp,Khác,-,-,100890,
Sắc Đẹp,Chăm sóc da mặt,Sữa rửa mặt,-,-,100891,
Sắc Đẹp,Chăm sóc da mặt,Nước cân bằng da,-,-,100892,
Sắc Đẹp,Chăm sóc da mặt,Kem dưỡng ẩm,-,-,100893,
Sắc Đẹp,Chăm sóc da mặt,Dầu dưỡng ẩm,-,-,100894,
Sắc Đẹp,Chăm sóc da mặt,Tinh chất dưỡng,-,-,100896,
Sắc Đẹp,Chăm sóc da mặt,Tẩy tế bào chết,-,-,100897,
Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,-,-,100898,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng mắt,Kem dưỡng mắt,-,101669,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng mắt,Mặt nạ cho mắt,-,101670,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng mắt,Tinh chất dưỡng mày & mi,-,101671,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng môi,Son dưỡng môi,-,101673,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng môi,Tẩy tế bào chết môi,-,101674,
Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng môi,Mặt nạ cho môi,-,101675,
Sắc Đẹp,Chăm sóc da mặt,Kem chống nắng cho mặt,-,-,100901,
Sắc Đẹp,Chăm sóc da mặt,Kem dưỡng sau chống nắng,-,-,100902,
